CalculatedMoleFraction,InitialMoleFraction,RelativeDifferencePercent,Pressure,Temperature
2.93453871766407e+168,0.00331,100,300,308
3.63578454980215e+169,0.00332,100,300,308
4.45319470545032e+170,0.00333,100,300,308
5.39253047653548e+171,0.00334,100,300,308
6.45643468745456e+172,0.00335,100,300,308
7.64370146335028e+173,0.00336,100,300,308
8.94863444507904e+174,0.00337,100,300,308
1.03605530091447e+176,0.00338,100,300,308
1.18635039541466e+177,0.00339,100,300,308
1.3436228501415e+178,0.0034,100,300,308
1.50524213074806e+179,0.00341,100,300,308
1.66813000956479e+180,0.00342,100,300,308
1.8288482695083e+181,0.00343,100,300,308
1.98371444799146e+182,0.00344,100,300,308
2.12894055625323e+183,0.00345,100,300,308
2.26078759138223e+184,0.00346,100,300,308
2.37572700622644e+185,0.00347,100,300,308
2.47059930140805e+186,0.00348,100,300,308
2.542759679648e+187,0.00349,100,300,308
2.59020130594457e+188,0.0035,100,300,308
2.61164811406248e+189,0.00351,100,300,308
2.60661117505464e+190,0.00352,100,300,308
2.57540521180964e+191,0.00353,100,300,308
2.51912467064714e+192,0.00354,100,300,308
2.43958158937605e+193,0.00355,100,300,308
2.33921007902282e+194,0.00356,100,300,308
2.22094434466378e+195,0.00357,100,300,308
2.08807864483103e+196,0.00358,100,300,308
1.9441183342024e+197,0.00359,100,300,308
1.79263113165323e+198,0.0036,100,300,308
1.63710705840061e+199,0.00361,100,300,308
1.48083421406148e+200,0.00362,100,300,308
1.32679586063312e+201,0.00363,100,300,308
1.17759234913885e+202,0.00364,100,300,308
1.03538943635836e+203,0.00365,100,300,308
9.01892669575363e+203,0.00366,100,300,308
7.78345903744609e+204,0.00367,100,300,308
6.65550755375079e+205,0.00368,100,300,308
5.63902942984639e+206,0.00369,100,300,308
4.73441023878282e+207,0.0037,100,300,308
3.93902982038646e+208,0.00371,100,300,308
3.24786393805804e+209,0.00372,100,300,308
2.65408419975197e+210,0.00373,100,300,308
2.14962560022983e+211,0.00374,100,300,308
1.72569872950044e+212,0.00375,100,300,308
1.37323145203648e+213,0.00376,100,300,308
1.08323208929717e+214,0.00377,100,300,308
8.47072399011919e+214,0.00378,100,300,308
6.56693675914989e+215,0.00379,100,300,308
5.0474299678265e+216,0.0038,100,300,308
3.84649026876979e+217,0.00381,100,300,308
2.90648024173083e+218,0.00382,100,300,308
2.17770915102717e+219,0.00383,100,300,308
1.61801795821606e+220,0.00384,100,300,308
1.19217164858733e+221,0.00385,100,300,308
8.71138280618715e+221,0.00386,100,300,308
6.3131915730719e+222,0.00387,100,300,308
4.53779572469588e+223,0.00388,100,300,308
3.23515730619307e+224,0.00389,100,300,308
2.28781328407949e+225,0.0039,100,300,308
1.60487250184824e+226,0.00391,100,300,308
1.11679945540765e+227,0.00392,100,300,308
7.70982131368974e+227,0.00393,100,300,308
5.28040829332514e+228,0.00394,100,300,308
3.58809744836658e+229,0.00395,100,300,308
2.41909987946087e+230,0.00396,100,300,308
1.61828638613929e+231,0.00397,100,300,308
1.07420703230115e+232,0.00398,100,300,308
7.07571784378293e+232,0.00399,100,300,308
4.62510565640082e+233,0.004,100,300,308
3.00026791288663e+234,0.00401,100,300,308
1.93154172394411e+235,0.00402,100,300,308
1.23416191241461e+236,0.00403,100,300,308
7.82676596775494e+236,0.00404,100,300,308
4.92666187671221e+237,0.00405,100,300,308
3.07823144148175e+238,0.00406,100,300,308
1.90917463323316e+239,0.00407,100,300,308
1.17544835000605e+240,0.00408,100,300,308
7.18443238164623e+240,0.00409,100,300,308
4.35943055948486e+241,0.0041,100,300,308
2.62622968479387e+242,0.00411,100,300,308
1.57079100874985e+243,0.00412,100,300,308
9.32832911917539e+243,0.00413,100,300,308
5.50054770586991e+244,0.00414,100,300,308
3.22063403073803e+245,0.00415,100,300,308
1.8725214806545e+246,0.00416,100,300,308
1.08113201697819e+247,0.00417,100,300,308
6.19888413995609e+247,0.00418,100,300,308
3.52977839545993e+248,0.00419,100,300,308
1.99616591563831e+249,0.0042,100,300,308
1.12118461705842e+250,0.00421,100,300,308
6.25467624354946e+250,0.00422,100,300,308
3.46573651964199e+251,0.00423,100,300,308
1.90750170965359e+252,0.00424,100,300,308
1.0428661767276e+253,0.00425,100,300,308
5.66372212833455e+253,0.00426,100,300,308
3.05562706931523e+254,0.00427,100,300,308
1.63771772775021e+255,0.00428,100,300,308
8.72033500321042e+255,0.00429,100,300,308
